epoch,loss,lr,mse,val_loss,val_mse
0,0.32545405626296997,1e-04,0.5166981220245361,0.23482364416122437,0.3359137773513794
1,0.2089577466249466,1e-04,0.24810893833637238,0.17982423305511475,0.21355292201042175
2,0.15770362317562103,1e-04,0.15816007554531097,0.14031124114990234,0.1461070477962494
3,0.13073188066482544,1e-04,0.11468036472797394,0.12126624584197998,0.11094025522470474
4,0.11254385858774185,1e-04,0.08845321089029312,0.10250558704137802,0.08571381866931915
5,0.09993234276771545,1e-04,0.07274341583251953,0.09818040579557419,0.07795006036758423
6,0.0901791974902153,1e-04,0.06234462931752205,0.08960766345262527,0.06645175814628601
7,0.08147887885570526,1e-04,0.054188989102840424,0.0773601233959198,0.05808698758482933
8,0.07383707910776138,1e-04,0.04762120917439461,0.07220969349145889,0.05297178775072098
9,0.07078435271978378,1e-04,0.044308729469776154,0.07109608501195908,0.051477693021297455
10,0.066141277551651,1e-04,0.040570471435785294,0.07194708287715912,0.049626290798187256
11,0.06397929787635803,1e-04,0.038300663232803345,0.06365206837654114,0.04275703430175781
12,0.059048984199762344,1e-04,0.03502247482538223,0.06871815770864487,0.04705733060836792
13,0.058561500161886215,1e-04,0.03392738476395607,0.05912083759903908,0.04128337278962135
14,0.05565936863422394,1e-04,0.032039523124694824,0.06024523079395294,0.036373402923345566
15,0.05306898057460785,1e-04,0.03027927875518799,0.053918931633234024,0.034690793603658676
16,0.052689079195261,1e-04,0.02942643128335476,0.05627666413784027,0.0372692234814167
17,0.05053333193063736,1e-04,0.028038501739501953,0.05532972887158394,0.03597646579146385
18,0.05004327744245529,1e-04,0.027298839762806892,0.04892740771174431,0.02984292060136795
19,0.0477529913187027,1e-04,0.02558896504342556,0.04908221215009689,0.029779789969325066
20,0.04655817523598671,1e-04,0.024828672409057617,0.04572882130742073,0.02682829275727272
21,0.04484263062477112,1e-04,0.02353883907198906,0.04597383737564087,0.02841261588037014
22,0.04353301599621773,1e-04,0.022600583732128143,0.047909654676914215,0.030949724838137627
23,0.043830759823322296,1e-04,0.022162355482578278,0.042875736951828,0.02403610572218895
24,0.04355708137154579,1e-04,0.021329617127776146,0.04178063943982124,0.023152964189648628
25,0.040584880858659744,1e-04,0.019788648933172226,0.04274429753422737,0.02406838908791542
26,0.04090042784810066,1e-04,0.019257348030805588,0.03749612718820572,0.02107596956193447
27,0.03922201693058014,1e-04,0.018186718225479126,0.03688572719693184,0.020184354856610298
28,0.0383298434317112,1e-04,0.01733625866472721,0.03685133531689644,0.01936362124979496
29,0.03809179365634918,1e-04,0.016875356435775757,0.03515498712658882,0.017575375735759735
30,0.037148185074329376,1e-04,0.01611730456352234,0.034376055002212524,0.016639281064271927
31,0.03663867339491844,1e-04,0.015407634899020195,0.035782590508461,0.015889368951320648
32,0.035113636404275894,1e-04,0.014585403725504875,0.032923758029937744,0.015069286338984966
33,0.035817701369524,1e-04,0.014536204747855663,0.03386801481246948,0.015593403950333595
34,0.03481728583574295,1e-04,0.014024212956428528,0.033175673335790634,0.014300921931862831
35,0.03360159695148468,1e-04,0.013105026446282864,0.03455379977822304,0.014652167446911335
36,0.0324188694357872,1e-04,0.01258736103773117,0.0314943827688694,0.013111907057464123
37,0.032775942236185074,1e-04,0.012380031868815422,0.03114984557032585,0.013391069136559963
38,0.03190326690673828,1e-04,0.011841753497719765,0.02905912697315216,0.011836739256978035
39,0.031782396137714386,1e-04,0.01148191373795271,0.03003806620836258,0.011854850687086582
40,0.03240024298429489,1e-04,0.011554510332643986,0.027999235317111015,0.010813327506184578
41,0.030505403876304626,1e-04,0.010670725256204605,0.03682152181863785,0.013280375860631466
42,0.030621014535427094,1e-04,0.010539810173213482,0.029093967750668526,0.01048826053738594
43,0.029958102852106094,1e-04,0.010160589590668678,0.02790784277021885,0.010216196067631245
